TourId iBest gBest time(ms)
1865 4615.2876159293 3782.7607934366 1376
1866 4664.2206618723 3782.7607934366 1378
1867 4593.8891121945 3782.7607934366 1337
1868 4521.2280929686 3782.7607934366 1331
1869 4767.8189113703 3782.7607934366 1338
1870 4532.1964277434 3782.7607934366 1363
1871 4460.0857056580 3782.7607934366 1342
1872 4432.8217179554 3782.7607934366 1348
1873 4654.8452501051 3782.7607934366 1354
1874 4517.7788248200 3782.7607934366 1358
1875 4587.2779149715 3782.7607934366 1361
1876 4564.1741799322 3782.7607934366 1359
1877 4654.9663762081 3782.7607934366 1357
1878 4823.3193857329 3782.7607934366 1375
1879 4677.3354238958 3782.7607934366 1385
1880 4618.3662935289 3782.7607934366 1365
1881 4535.6874274093 3782.7607934366 1374
1882 4695.0770834456 3782.7607934366 1388
1883 4744.7433112489 3782.7607934366 1346
1884 4526.2350670141 3782.7607934366 1356
1885 4696.6651648803 3782.7607934366 1368
1886 4662.0580449676 3782.7607934366 1366
1887 4628.6698830998 3782.7607934366 1384
1888 4618.4549971954 3782.7607934366 1362
1889 4798.9353088054 3782.7607934366 1378
1890 4587.5023650775 3782.7607934366 1382
1891 4608.2520671203 3782.7607934366 1381
1892 4529.7517583164 3782.7607934366 1386
1893 4635.1652185901 3782.7607934366 1381
1894 4608.9756936989 3782.7607934366 1387
1895 4634.1879545652 3782.7607934366 1373
1896 4693.7999964249 3782.7607934366 1375
1897 4610.3479331612 3782.7607934366 1378
1898 4779.0938220506 3782.7607934366 1369
1899 3767.8558174232 3767.8558174232 14298
1900 4665.5862003946 3767.8558174232 1363
1901 4564.4192903076 3767.8558174232 1387
1902 4631.4152456221 3767.8558174232 1374
1903 4553.8440092914 3767.8558174232 1383
1904 4619.6898823505 3767.8558174232 1361
1905 4795.3590868009 3767.8558174232 1354
1906 4547.5709635606 3767.8558174232 1351
1907 4635.2208029070 3767.8558174232 1350
1908 4644.9484332483 3767.8558174232 1364
1909 4619.3865121254 3767.8558174232 1358
1910 4705.7837464701 3767.8558174232 1357
1911 4608.6873410457 3767.8558174232 1403
1912 4628.8170671796 3767.8558174232 1400
1913 4785.0685987928 3767.8558174232 1397
1914 4583.1729211332 3767.8558174232 1404
1915 4738.4983050029 3767.8558174232 1392
1916 4638.2339356127 3767.8558174232 1391
1917 4596.9672151850 3767.8558174232 1399
1918 4639.8589761527 3767.8558174232 1394
1919 4556.9376956038 3767.8558174232 1399
1920 4602.3783683404 3767.8558174232 1398
1921 4584.3489547647 3767.8558174232 1363
1922 4820.2080518723 3767.8558174232 1370
1923 4554.4345627959 3767.8558174232 1358
1924 4609.1741007100 3767.8558174232 1363
1925 4645.2640115242 3767.8558174232 1370
1926 4732.4216087537 3767.8558174232 1356
1927 4508.2689513711 3767.8558174232 1354
1928 4664.8600358909 3767.8558174232 1358
1929 4462.4715659581 3767.8558174232 1378
1930 4720.8106921739 3767.8558174232 1365
1931 4511.3677127670 3767.8558174232 1355
1932 4685.0439896949 3767.8558174232 1347
1933 4550.8462104371 3767.8558174232 1355
1934 4614.7450179676 3767.8558174232 1350
1935 4582.4478452463 3767.8558174232 1347
1936 4509.0761436799 3767.8558174232 1342
1937 4723.2458454728 3767.8558174232 1347
1938 4598.6420008375 3767.8558174232 1363
1939 4555.6466663048 3767.8558174232 1350
1940 4584.5944867246 3767.8558174232 1357
1941 4761.4382937763 3767.8558174232 1355
1942 4622.9010910046 3767.8558174232 1357
1943 4623.5822310392 3767.8558174232 1353
1944 4638.8098348272 3767.8558174232 1354
1945 4637.8534507478 3767.8558174232 1358
1946 4541.5897700339 3767.8558174232 1361
1947 4441.8223210785 3767.8558174232 1347
1948 4798.9260289923 3767.8558174232 1358
1949 4538.3923706751 3767.8558174232 1359
1950 4562.4481078151 3767.8558174232 1351
1951 4726.1696739905 3767.8558174232 1365
1952 4688.3034951585 3767.8558174232 1367
1953 4628.1056341621 3767.8558174232 1367
1954 4541.3941821399 3767.8558174232 1361
1955 4483.6859103273 3767.8558174232 1370
1956 4578.6235119478 3767.8558174232 1371
1957 4386.3109635669 3767.8558174232 1357
1958 4559.5624479025 3767.8558174232 1360
1959 4620.4662807581 3767.8558174232 1359
1960 4626.5098850060 3767.8558174232 1361
1961 4780.5806891835 3767.8558174232 1355
1962 4694.4321396114 3767.8558174232 1358
