TourId iBest gBest time(ms)
68 5752.0846815511 5464.1304521097 1357
69 5770.7286262917 5464.1304521097 1360
70 6036.2503380513 5464.1304521097 1371
71 6011.2576081995 5464.1304521097 1366
72 5669.2964788924 5464.1304521097 1359
73 5875.6637156122 5464.1304521097 1361
74 5621.4787082037 5464.1304521097 1356
75 5755.6325590467 5464.1304521097 1354
76 5849.0741741361 5464.1304521097 1355
77 5717.2279130477 5464.1304521097 1359
78 5770.3026991710 5464.1304521097 1370
79 5546.3909414277 5464.1304521097 1370
80 5820.4437004174 5464.1304521097 1383
81 5810.4017733954 5464.1304521097 1398
82 5761.8952075721 5464.1304521097 1404
83 5653.7817902840 5464.1304521097 1408
84 5652.8623300145 5464.1304521097 1391
85 5820.4188755084 5464.1304521097 1378
86 5797.6349558313 5464.1304521097 1364
87 5539.1673438081 5464.1304521097 1369
88 5830.9326665879 5464.1304521097 1377
89 5722.8583544343 5464.1304521097 1374
90 5801.7722394695 5464.1304521097 1373
91 5553.5948780923 5464.1304521097 1364
92 5754.9924340560 5464.1304521097 1370
93 5563.2546323414 5464.1304521097 1370
94 5642.3191931363 5464.1304521097 1355
95 5811.1677764574 5464.1304521097 1356
96 5774.5749921673 5464.1304521097 1362
97 5795.5838552974 5464.1304521097 1396
98 5793.2554380955 5464.1304521097 1369
99 5751.7785696254 5464.1304521097 1361
100 5641.7267610454 5464.1304521097 1371
101 5714.8494766336 5464.1304521097 1373
102 5792.8170808150 5464.1304521097 1364
103 5747.9042401505 5464.1304521097 1375
104 5711.2102438153 5464.1304521097 1361
105 5691.3944333513 5464.1304521097 1364
106 5724.9609025369 5464.1304521097 1367
107 5939.7584906549 5464.1304521097 1369
108 5852.2506057229 5464.1304521097 1360
109 5693.1838833680 5464.1304521097 1369
110 5652.4872922117 5464.1304521097 1363
111 5768.0808769128 5464.1304521097 1365
112 5661.3990171452 5464.1304521097 1354
113 5659.2631113096 5464.1304521097 1397
114 5735.8206850467 5464.1304521097 1358
115 5616.7899751473 5464.1304521097 1380
116 5570.7205487854 5464.1304521097 1360
117 5683.2755291831 5464.1304521097 1373
118 5644.6763280463 5464.1304521097 1359
119 5595.9596060520 5464.1304521097 1361
120 5554.0124431362 5464.1304521097 1355
121 5638.9365385295 5464.1304521097 1360
122 5586.6472155315 5464.1304521097 1353
123 5695.1742166135 5464.1304521097 1359
124 5628.6511235845 5464.1304521097 1360
125 5617.7189274412 5464.1304521097 1377
126 5755.9481277825 5464.1304521097 1364
127 5877.5262598258 5464.1304521097 1361
128 5720.5563987513 5464.1304521097 1364
129 5679.2215551575 5464.1304521097 1369
130 5477.5193208244 5464.1304521097 1368
131 5559.2325945512 5464.1304521097 1346
132 5687.1808961791 5464.1304521097 1357
133 5591.8487769816 5464.1304521097 1350
134 5576.7781412220 5464.1304521097 1363
135 5989.8388343174 5464.1304521097 1358
136 5845.9547244174 5464.1304521097 1361
137 5660.3116540207 5464.1304521097 1358
138 5760.7400130941 5464.1304521097 1356
139 5494.9534350089 5464.1304521097 1356
140 5589.6052853465 5464.1304521097 1354
141 5463.8406459967 5463.8406459967 1358
142 5755.6039705148 5463.8406459967 1356
143 5743.7621499247 5463.8406459967 1370
144 5891.4459111087 5463.8406459967 1368
145 5614.7256787935 5463.8406459967 1372
146 5679.4530641223 5463.8406459967 1366
147 5519.8888093756 5463.8406459967 1372
148 5484.3916575183 5463.8406459967 1361
149 5681.5529506292 5463.8406459967 1356
150 5757.8118806347 5463.8406459967 1374
151 5532.0487905194 5463.8406459967 1353
